Date,tx_count,active_addresses,tx_volume_usd,hash_rate
2010-07-02,242,223,,0.0001688080901
2010-07-03,286,261,,0.0001929235315
2010-07-04,224,205,,0.0001794188843
2010-07-05,251,226,,0.0001697727077
2010-07-06,209,199,,0.000196266644
2010-07-07,218,222,,0.0001799110903
2010-07-08,223,223,,0.0001845841056
2010-07-09,268,267,,0.0002207999745
2010-07-10,240,239,,0.0002278094975
2010-07-11,353,452,,0.0002067809285
2010-07-12,2300,3368,,0.0005993142164
2010-07-13,1479,1796,,0.001678569251
2010-07-14,6132,6548,,0.001295025201
2010-07-15,1329,1568,,0.001407832275
2010-07-16,1182,1436,,0.005396690387
2010-07-17,408,,,0.001651495553
2010-07-18,420,519,,0.00161539729
2010-07-19,528,667,,0.001480028802
2010-07-20,594,714,,0.001606372724
2010-07-21,463,524,,0.001822962304
2010-07-22,397,477,,0.001687593817
2010-07-23,411,481,,0.001750765778
2010-07-24,894,743,,0.001669544685
2010-07-25,1823,1881,,0.001931257095
2010-07-26,467,524,,0.002346387125
2010-07-27,426,511,,0.002124483404
2010-07-28,1951,429,,0.001966664637
2010-07-29,1867,431,,0.002124483404
2010-07-30,325,374,,0.00220946274
2010-07-31,295,339,,0.002294442077
2010-08-01,364,429,,0.002682919042
2010-08-02,398,431,,0.003083535912
2010-08-03,648,701,,0.002767898378
2010-08-04,439,539,,0.002767898378
2010-08-05,515,634,,0.002962136861
2010-08-06,359,422,,0.002818470614
2010-08-07,273,303,,0.002485856069
2010-08-08,391,437,,0.003361157502
2010-08-09,424,511,,0.003308639416
2010-08-10,340,370,,0.003623747932
2010-08-11,412,451,,0.003798808218
2010-08-12,392,450,,0.003816314247
2010-08-13,516,609,,0.003798808218
2010-08-14,434,440,,0.004569073479
2010-08-15,315,297,,0.006996110104
2010-08-16,453,521,,0.002951086444
2010-08-17,318,365,,0.003332692449
2010-08-18,377,450,,0.00338357325
2010-08-19,325,355,,0.003561656053
2010-08-20,423,458,,0.004248546863
2010-08-21,342,389,,0.004681033669
2010-08-22,366,373,,0.005062639675
2010-08-23,369,415,,0.005520566882
2010-08-24,379,431,,0.005215282077
2010-08-25,365,379,,0.005774970886
2010-08-26,368,388,,0.005291603278
2010-08-27,294,323,,0.005515994627
2010-08-28,339,382,861.9295999,0.005546983361
2010-08-29,260,291,469.5138,0.00489621995
2010-08-30,329,359,944.5373,0.004617321345
2010-08-31,441,456,2427.5209,0.005423028425
2010-09-01,380,431,1010.3004,0.005454017159
2010-09-02,321,343,1604.6628,0.004679298813
2010-09-03,319,373,1513.3758,0.004958197417
2010-09-04,274,307,1531.5042,0.005546983361
2010-09-05,311,354,1828.3764,0.005020174885
2010-09-06,278,309,1694.7888,0.005237096022
2010-09-07,282,290,783.2022,0.004679298813
2010-09-08,339,387,786.7542,0.005386530222
2010-09-09,324,362,1023.9252,0.005351092524
2010-09-10,360,394,594.225,0.0060598465
2010-09-11,305,330,559.1766,0.005740907211
2010-09-12,379,425,939.3114,0.006485098886
2010-09-13,436,512,1688.811,0.005811782608
2010-09-14,424,459,1218.627624,0.006910351272
2010-09-15,430,484,2492.3502,0.00666228738
2010-09-16,438,425,4101.552,0.006733162778
2010-09-17,361,375,4175.8764,0.007654542948
2010-09-18,399,410,2351.6856,0.008398734623
2010-09-19,355,389,2135.7834,0.009581378861
2010-09-20,465,525,1926.975,0.009627004475
2010-09-21,810,968,989.0634,0.008075733612
2010-09-22,673,845,1706.9796,0.007893231157
2010-09-23,655,725,4105.2816,0.009672630088
2010-09-24,501,572,1059.924,0.01122390095
2010-09-25,532,602,1421.9406,0.009216373952
2010-09-26,400,435,1207.464,0.008988245884
2010-09-27,603,693,1767.6606,0.01085889604
2010-09-28,491,492,4446.020232,0.009855132543
2010-09-29,975,971,1472.1138,0.01160260554
2010-09-30,365,456,1875.3306,0.009242753568
2010-10-01,584,672,2111.790436,0.01022602522
2010-10-02,501,602,17508.0792,0.007145107368
2010-10-03,377,488,2186.6442,0.007931724693
2010-10-04,407,512,4072.4898,0.01009492234
2010-10-05,371,491,6137.5368,0.008062827581
2010-10-06,407,484,4998.297,0.009963819449
2010-10-07,340,407,5650.5246,0.01134039977
2010-10-08,363,454,8206.45,0.01016047378
2010-10-09,401,484,14729.4,0.01002937089
2010-10-10,363,451,10896.4656,0.01127484832
2010-10-11,342,424,2945.2368,0.01081598822
2010-10-12,352,447,5828.9436,0.01096034426
2010-10-13,364,457,3541.591,0.01157686363
2010-10-14,367,443,8569.171,0.01315241312
2010-10-15,328,403,4345.6589,0.01267289805
2010-10-16,441,511,11582.5608,0.01637201424
2010-10-17,457,541,1243.605,0.01931760676
2010-10-18,579,713,3527.157,0.01787906158
2010-10-19,924,1197,3621.433,0.01664602285
2010-10-20,713,912,5410.448,0.01602950348
2010-10-21,552,697,6071.105,0.02489102975
2010-10-22,602,764,2832.0886,0.01634475344
2010-10-23,517,671,2386.8284,0.01858815097
2010-10-24,552,671,9307.6451,0.02019057778
2010-10-25,410,517,7509.2994,0.02243397531
